"Carimbo de data/hora","Qual é o seu gênero?","Qual é a sua cor ou raça/etnia?","Qual é a sua faixa etária?","Em que estado você mora atualmente?","Qual é a sua ocupação atual?","Você aplica conhecimentos técnicos da área de Inteligência Artificial na sua atuação:","1. Existem até o momento mais dissensos do que consensos sobre quais são os principais problemas a serem enfrentados pelo campo da IA.","2. As Big Techs têm mais poder do que deveriam em definir as possibilidades e limites do campo da IA.","3. O foco atual do campo da IA na abordagem data and compute-intensive é acertado.","4. No contexto da pesquisa em IA, considerações éticas e progresso científico podem entrar em conflito.","5. Outros setores não-especialistas, como o poder público e a sociedade civil, devem ter participação nas definições éticas do campo da IA.","6. A evolução dos Large language models (LLMs) está indo em direção à AGI.","7. Os pesquisadores no campo da IA devem ter como prioridade perseguir a chamada Inteligência Artificial Geral, em inglês Artificial General Intelligence (AGI).","8. De modo geral, o desenvolvimento científico da IA terá um impacto futuro positivo no mundo.","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [1. Existem até o momento mais dissensos do que consensos sobre quais são os principais problemas a serem enfrentados pelo campo da IA.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [2. As Big Techs têm mais poder do que deveriam em definir as possibilidades e limites do campo da IA.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [3. O foco atual do campo da IA na abordagem data and compute-intensive é acertado.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [4. No contexto da pesquisa em IA, considerações éticas e progresso científico podem entrar em conflito.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [5. Outros setores não-especialistas, como o poder público e a sociedade civil, devem ter participação nas definições éticas do campo da IA.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [6. A evolução dos Large language models (LLMs) está indo em direção à AGI.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [7. Os pesquisadores no campo da IA devem ter como prioridade perseguir a chamada Inteligência Artificial Geral, em inglês Artificial General Intelligence (AGI).]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [8. De modo geral, o desenvolvimento científico da IA terá um impacto futuro positivo no mundo.]","Por fim, gostaria de deixar algum comentário ou feedback?"
"12/8/2023 18:28:16","Masculino","Preta","36-40","SP","Técnico de Laboratório","Raramente","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 80%","Mais de 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Parabéns pela iniciativa em realizar um estudo referente aos impactos da IA no ponto de vista dos pesquisadores brasileiros."
"12/11/2023 8:57:55","Feminino","Branca","31-35","PE","Professora Universitária","Às vezes","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 80%","Mais de 40% até 60%","Mais de 80%","Mais de 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 80%",""
"12/11/2023 16:19:17","Masculino","Branca","26-30","SP","Pesquisador de Pós-Doutorado","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%",""
"12/11/2023 18:16:14","Masculino","Branca","18-25","AM","Estudante pesquisador","Com frequência","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 80%",""
"12/11/2023 19:33:33","Masculino","Amarela","26-30","SC","Mestrando","Com frequência","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Discordo totalmente","Concordo totalmente","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 40% até 60%",""
"12/11/2023 20:21:25","Masculino","Branca","31-35","AM","Pesquisador","Com frequência","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo totalmente","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 80%",""
"12/11/2023 21:13:12","Feminino","Branca","36-40","AM","Professora Universitária","Com frequência","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Discordo totalmente","Concordo totalmente","Discordo totalmente","Discordo totalmente","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Até 20%","Mais de 20% até 40%","Até 20%","Até 20%","Até 20%",""
"12/11/2023 21:55:03","Masculino","Branca","26-30","SP","estudante","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Até 20%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 80%",""
"12/12/2023 13:38:16","Masculino","Branca","41-45","SP","Professor","Com frequência","Discordo totalmente","Discordo totalmente","Discordo mais do que concordo","Discordo totalmente","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Até 20%","Até 20%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 80%",""
"12/12/2023 18:42:35","Masculino","Branca","31-35","MG","Doutorando/Estudante","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Discordo totalmente","Concordo totalmente","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 20% até 40%",""
"12/13/2023 18:41:24","Masculino","Branca","18-25","AM","Fullstack Junior voltado para Machine/Deep Learning","Com frequência","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 60% até 80%",""
"12/14/2023 8:52:09","Masculino","Branca","36-40","PR","Professor universitário","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Se possível, envie futuramente o resumo da pesquisa (na forma de alguma publicação) para eu ter uma ideia do que a comunidade pensa no assunto (email anônimo: ulokopia@gmail.com). Uma vez dei uma palestra sobre ética em IA e achei o tema interessante, então essa publicação poderá virar referência em futura reaplicação da palestra. Obrigado"
"12/14/2023 10:35:07","Masculino","Branca","31-35","SP","Pesquisador de pós-doutorado","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Mais de 80%","Mais de 60% até 80%","Mais de 40% até 60%","Até 20%","Mais de 60% até 80%",""
"12/14/2023 12:21:01","Masculino","Branca","46-50","RJ","Professor Titular","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Mais de 80%","Mais de 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%",""
"12/14/2023 14:15:05","Masculino","Branca","31-35","RJ","Engenheiro mecatrônico","Raramente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Discordo totalmente","Discordo totalmente","Discordo mais do que concordo","Concordo totalmente","Concordo totalmente","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%",""
"12/14/2023 15:32:04","Masculino","Branca","36-40","PR","Docente","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Discordo totalmente","Concordo mais do que discordo","Mais de 20% até 40%","Mais de 80%","Mais de 80%","Mais de 60% até 80%","Mais de 80%","Mais de 80%","Até 20%","Mais de 40% até 60%","Faltou um campo do tipo ""não sei opinar"" ou ""prefiro não opniar"""
"12/14/2023 19:59:41","Masculino","Branca","26-30","SP","Pesquisador","Com frequência","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Discordo totalmente","Discordo totalmente","Concordo totalmente","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Até 20%","Mais de 80%",""
"12/15/2023 9:59:24","Feminino","Parda","26-30","PA","Estudante de Mestrado","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 80%","Mais de 80%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 40% até 60%",""
"12/15/2023 10:13:10","Masculino","Branca","46-50","PR","Professor Magistério Superior","Raramente","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Até 20%","Mais de 80%","Mais de 40% até 60%","Mais de 80%","Mais de 80%","Até 20%","Até 20%","Mais de 20% até 40%","Nada a declarar!"
"12/15/2023 13:58:42","Masculino","Parda","18-25","PA","Desempregado ","Com frequência","Concordo totalmente","Discordo mais do que concordo","Concordo totalmente","Concordo totalmente","Discordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Até 20%","Mais de 80%","Mais de 60% até 80%","Mais de 40% até 60%","Até 20%","Mais de 40% até 60%","Mais de 80%","Mais de 80%","Eu não acredito que os modelos ""LLM"" estão indo em direção a uma AGI, já que necessitam de diversos outros tipos de tecnologias. Existem tecnologias mais promissoras e assustadoras que devem ser discutidas como as líquidas."
"12/15/2023 22:16:31","Masculino","Branca","18-25","SP","Estagiário de desenvolvimento back-end","Raramente","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%",""
"12/16/2023 4:20:08","Masculino","Amarela","26-30","Moro no exterior","Doutorando","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Discordo totalmente","Discordo totalmente","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Até 20%","Até 20%","Mais de 20% até 40%","Mais de 80%",""
"12/16/2023 14:12:40","Feminino","Amarela","18-25","SP","Estudante","Às vezes","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Concordo totalmente","Discordo mais do que concordo","Discordo mais do que concordo","Discordo mais do que concordo","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Não sabia o que era AGI exatamente mas tive que me posicionar, preferiria ter uma alternativa de abstenção. Ótima iniciativa! Saber guiar os estudos sobre IA deve ser o maior desafio da atualidade visto seu crescimento desenfreado sem qualquer tipo de regulamentação."
"12/16/2023 15:10:04","Feminino","Branca","18-25","PA","Mestranda","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%",""
"12/18/2023 12:52:23","Feminino","Branca","41-45","PB","Professora universitária","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Discordo totalmente","Concordo mais do que discordo","Até 20%","Mais de 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%",""
"12/19/2023 11:25:26","Masculino","Parda","36-40","PA","Professor","Com frequência","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Mais de 20% até 40%","Mais de 80%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 20% até 40%","Até 20%","Mais de 80%",""
"12/20/2023 12:07:56","Masculino","Branca","36-40","CE","Professor","Com frequência","Discordo mais do que concordo","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 20% até 40%","Até 20%","Mais de 80%",""
"12/20/2023 19:46:47","Masculino","Branca","31-35","CE","Professor","Com frequência","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%",""
"12/23/2023 23:49:46","Masculino","Branca","18-25","SC","Estudante","Com frequência","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Até 20%","Mais de 80%",""
"12/28/2023 14:50:36","Masculino","Branca","46-50","PB","Auditor de Controle Externo - Assessor Técnico","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Mais de 80%","Mais de 80%","Até 20%","Mais de 20% até 40%","Mais de 80%",""
"1/2/2024 10:33:54","Feminino","Branca","18-25","SP","Mestranda","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Discordo mais do que concordo","Discordo mais do que concordo","Discordo totalmente","Discordo totalmente","Concordo totalmente","Até 20%","Mais de 80%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 60% até 80%",""
"1/2/2024 14:30:22","Masculino","Branca","31-35","MG","Professor","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%",""
"1/8/2024 10:33:44","Feminino","Branca","36-40","RN","Professor-Pesquisador","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 20% até 40%","Até 20%","Mais de 60% até 80%",""
"1/11/2024 16:10:29","Masculino","Branca","26-30","CE","Professor","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 60% até 80%",""
"1/11/2024 16:41:08","Masculino","Branca","36-40","RS","Engenheiro Full Stack","Raramente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%",""
"1/11/2024 17:21:59","Masculino","Parda","31-35","CE","Analista de Dados","Às vezes","Discordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Discordo totalmente","Discordo mais do que concordo","Concordo totalmente","Concordo totalmente","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%",""
"1/11/2024 18:47:40","Feminino","Preta","26-30","SP","Estudante de doutorado","Com frequência","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo totalmente","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Até 20%","Mais de 40% até 60%",""
"1/11/2024 22:30:37","Masculino","Branca","18-25","MG","Estudante","Às vezes","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 80%",""
"1/12/2024 10:52:34","Feminino","Branca","18-25","SP","Pesquisadora/Estudante","Às vezes","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 60% até 80%",""
"2/26/2024 19:43:54","Masculino","Branca","26-30","SP","Desenvolvedor de software","Com frequência","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%",""
